formulae,sentences,quantifiers,sat,unary,binary,num_clauses,prob
"[ForAll(x, Implies(fotograf(x), trener_atletyczny(x))), Exists(x, And(Not(trener_atletyczny(x)), fotograf(x))), Exists(x, And(Not(trener_atletyczny(x)), Not(wiedźma(x)))), Exists(x, And(Not(wiedźma(x)), Not(trener_atletyczny(x))))]","['każdy fotograf są trener_atletyczny', 'pewien nie-trener_atletyczny są fotograf', 'jakiś nie-trener_atletyczny nie jest wiedźma', 'pewien nie-wiedźma nie są trener_atletyczny']","['all', 'exists', 'exists', 'exists']",unsat,4,1,4,1
"[ForAll(x, Implies(Not(ekonomista(x)), brukarz(x))), Exists(x, And(Not(mechanik(x)), Not(prezes(x)))), Exists(x, And(Not(prezes(x)), brukarz(x))), Exists(x, And(Not(ekonomista(x)), Not(prezes(x))))]","['każdy nie-ekonomista są brukarz', 'pewien nie-mechanik nie są prezes', 'pewien nie-prezes są brukarz', 'jakiś nie-ekonomista nie jest prezes']","['all', 'exists', 'exists', 'exists']",sat,4,1,4,1
"[ForAll(x, Implies(projektant_wnętrz(x), Not(dyrygent(x)))), ForAll(x, Implies(projektant_wnętrz(x), prawnik(x))), Exists(x, And(Not(prawnik(x)), dyrygent(x)))]","['żaden projektant_wnętrz nie jest dyrygent', 'każdy projektant_wnętrz są prawnik', 'pewien nie-prawnik są dyrygent']","['all', 'all', 'exists']",sat,3,1,3,1
"[Exists(x, And(filozof(x), Not(wykładowca(x)))), ForAll(x, Implies(królowa(x), Not(wykładowca(x)))), Exists(x, And(Not(filozof(x)), Not(pszczelarz(x)))), ForAll(x, Implies(pszczelarz(x), Not(królowa(x))))]","['pewien filozof nie są wykładowca', 'żaden królowa nie jest wykładowca', 'pewien nie-filozof nie są pszczelarz', 'żaden pszczelarz nie jest królowa']","['exists', 'all', 'exists', 'all']",sat,4,1,4,1
"[Exists(x, And(rozgrywający(x), rybak(x))), ForAll(x, Implies(rybak(x), historyk(x))), ForAll(x, Implies(Not(wiedźma(x)), rybak(x))), ForAll(x, Implies(rybak(x), Not(rozgrywający(x)))), Exists(x, And(Not(naukowiec_ai(x)), rozgrywający(x)))]","['pewien rozgrywający są rybak', 'każdy rybak są historyk', 'każdy nie-wiedźma są rybak', 'żaden rybak nie jest rozgrywający', 'jakiś nie-naukowiec_ai jest rozgrywający']","['exists', 'all', 'all', 'all', 'exists']",unsat,5,1,5,1
"[ForAll(x, Implies(Not(szachista(x)), Not(królowa(x)))), Exists(x, And(analityk_biznesowy(x), Not(szachista(x)))), Exists(x, And(szachista(x), Not(królowa(x)))), ForAll(x, Implies(Not(tenisista(x)), szachista(x)))]","['żaden nie-szachista nie jest królowa', 'jakiś analityk_biznesowy nie jest szachista', 'pewien szachista nie są królowa', 'każdy nie-tenisista są szachista']","['all', 'exists', 'exists', 'all']",sat,4,1,4,1
"[Exists(x, And(żywiciel(x), księgowy(x))), Exists(x, And(Not(księgowy(x)), filozof(x))), ForAll(x, Implies(żywiciel(x), filozof(x)))]","['pewien żywiciel są księgowy', 'jakiś nie-księgowy jest filozof', 'każdy żywiciel są filozof']","['exists', 'exists', 'all']",sat,3,1,3,1
"[Exists(x, And(odwiedzający(x), Not(krykiecista(x)))), ForAll(x, Implies(Not(krykiecista(x)), Not(alergolog(x)))), Exists(x, And(duch(x), krykiecista(x))), ForAll(x, Implies(Not(odwiedzający(x)), Not(alergolog(x))))]","['jakiś odwiedzający nie jest krykiecista', 'żaden nie-krykiecista nie jest alergolog', 'pewien duch są krykiecista', 'żaden nie-odwiedzający nie jest alergolog']","['exists', 'all', 'exists', 'all']",sat,4,1,4,1
"[ForAll(x, Implies(Not(wydawca(x)), fryzjer_męski(x))), Exists(x,
       And(Not(zawiadowca_stacji(x)), Not(fryzjer_męski(x)))), Exists(x, And(Not(wydawca(x)), zawiadowca_stacji(x)))]","['każdy nie-wydawca są fryzjer_męski', 'jakiś nie-zawiadowca_stacji nie jest fryzjer_męski', 'pewien nie-wydawca są zawiadowca_stacji']","['all', 'exists', 'exists']",sat,3,1,3,1
"[ForAll(x, Implies(epidemiolog(x), Not(wojownik(x)))), Exists(x, And(wojownik(x), epidemiolog(x))), Exists(x, And(zapaśnik(x), epidemiolog(x)))]","['żaden epidemiolog nie jest wojownik', 'pewien wojownik są epidemiolog', 'jakiś zapaśnik jest epidemiolog']","['all', 'exists', 'exists']",unsat,3,1,3,1
"[Exists(x,
       And(Not(sportowiec(x)), Not(dyrektor_techniczny(x)))), Exists(x, And(Not(prezes(x)), dyrektor_techniczny(x))), ForAll(x, Implies(Not(sportowiec(x)), prezes(x))), Exists(x, And(Not(dyrektor_techniczny(x)), sportowiec(x)))]","['pewien nie-sportowiec nie są dyrektor_techniczny', 'jakiś nie-prezes jest dyrektor_techniczny', 'każdy nie-sportowiec są prezes', 'jakiś nie-dyrektor_techniczny jest sportowiec']","['exists', 'exists', 'all', 'exists']",sat,4,1,4,1
"[ForAll(x, Implies(Not(oszust(x)), Not(król(x)))), Exists(x, And(wiedźma(x), król(x))), Exists(x, And(Not(audytor(x)), oszust(x))), ForAll(x, Implies(Not(wiedźma(x)), Not(audytor(x))))]","['żaden nie-oszust nie jest król', 'pewien wiedźma są król', 'pewien nie-audytor są oszustem', 'żaden nie-wiedźma nie jest audytor']","['all', 'exists', 'exists', 'all']",sat,4,1,4,1
"[ForAll(x, Implies(skrzypek(x), Not(doradca(x)))), Exists(x, And(audiolog(x), skrzypek(x))), ForAll(x, Implies(Not(audiolog(x)), Not(doradca(x)))), Exists(x, And(doradca(x), skrzypek(x)))]","['żaden skrzypek nie jest doradca', 'jakiś audiolog jest skrzypek', 'żaden nie-audiolog nie jest doradca', 'jakiś doradca jest skrzypek']","['all', 'exists', 'all', 'exists']",unsat,4,1,4,1
"[ForAll(x, Implies(książę(x), gospodarz(x))), Exists(x, And(Not(sportowiec(x)), książę(x))), ForAll(x, Implies(książę(x), dyrektor_techniczny(x))), Exists(x, And(dyrektor_techniczny(x), gospodarz(x)))]","['każdy książę są gospodarz', 'jakiś nie-sportowiec jest książę', 'każdy książę są dyrektor_techniczny', 'pewien dyrektor_techniczny są gospodarz']","['all', 'exists', 'all', 'exists']",sat,4,1,4,1
"[ForAll(x, Implies(przysięgły(x), dyrektor_finansowy(x))), Exists(x, And(kierowca_ciężarówki(x), Not(przysięgły(x)))), Exists(x, And(obrońca(x), Not(kierowca_ciężarówki(x)))), ForAll(x,
       Implies(Not(dyrektor_finansowy(x)),
               Not(kierowca_ciężarówki(x))))]","['każdy przysięgły są dyrektor_finansowy', 'jakiś kierowca_ciężarówki nie jest przysięgły', 'jakiś obrońca nie jest kierowca_ciężarówki', 'żaden nie-dyrektor_finansowy nie jest kierowca_ciężarówki']","['all', 'exists', 'exists', 'all']",sat,4,1,4,1
"[ForAll(x, Implies(brukarz(x), prezes(x))), ForAll(x,
       Implies(Not(agent_nieruchomości(x)), Not(rycerz(x)))), ForAll(x, Implies(Not(brukarz(x)), Not(rycerz(x)))), Exists(x, And(Not(prezes(x)), Not(rycerz(x))))]","['każdy brukarz są prezes', 'żaden nie-agent_nieruchomości nie jest rycerz', 'żaden nie-brukarz nie jest rycerz', 'jakiś nie-prezes nie jest rycerz']","['all', 'all', 'all', 'exists']",sat,4,1,4,1
"[ForAll(x, Implies(osadnik(x), Not(gość(x)))), ForAll(x, Implies(gość(x), osadnik(x))), Exists(x, And(Not(strażak(x)), Not(gość(x)))), ForAll(x, Implies(osadnik(x), gość(x)))]","['żaden osadnik nie jest gość', 'każdy gość są osadnik', 'pewien nie-strażak nie są gość', 'każdy osadnik są gość']","['all', 'all', 'exists', 'all']",sat,4,1,4,1
"[ForAll(x, Implies(Not(dorosły(x)), kartograf(x))), ForAll(x, Implies(kartograf(x), Not(dorosły(x)))), ForAll(x, Implies(kartograf(x), Not(dorosły(x)))), ForAll(x, Implies(dorosły(x), dentysta(x)))]","['każdy nie-dorosły są kartograf', 'żaden kartograf nie jest dorosły', 'żaden kartograf nie jest dorosły', 'każdy dorosły są dentysta']","['all', 'all', 'all', 'all']",sat,4,1,4,1
"[Exists(x, And(Not(niemowlę(x)), żeglarz(x))), ForAll(x, Implies(Not(niemowlę(x)), Not(weterynarz(x)))), ForAll(x, Implies(żeglarz(x), Not(inżynier_nlp(x)))), ForAll(x, Implies(Not(niemowlę(x)), Not(inżynier_nlp(x))))]","['jakiś nie-niemowlę jest żeglarz', 'żaden nie-niemowlę nie jest weterynarz', 'żaden żeglarz nie jest inżynier_nlp', 'żaden nie-niemowlę nie jest inżynier_nlp']","['exists', 'all', 'all', 'all']",sat,4,1,4,1
"[ForAll(x, Implies(dj(x), Not(książę(x)))), Exists(x, And(leśniczy(x), Not(maszynista(x)))), ForAll(x, Implies(dj(x), Not(książę(x)))), ForAll(x, Implies(Not(książę(x)), Not(maszynista(x))))]","['żaden dj nie jest książę', 'jakiś leśniczy nie jest maszynista', 'żaden dj nie jest książę', 'żaden nie-książę nie jest maszynista']","['all', 'exists', 'all', 'all']",sat,4,1,4,1
"[Exists(x, And(Not(woźny_sądowy(x)), księgowy(x))), Exists(x, And(Not(pomocnik(x)), Not(księgowy(x)))), Exists(x, And(Not(woźny_sądowy(x)), żywiciel(x))), Exists(x, And(Not(żywiciel(x)), Not(księżniczka(x)))), ForAll(x, Implies(woźny_sądowy(x), żywiciel(x)))]","['jakiś nie-woźny_sądowy jest księgowy', 'pewien nie-pomocnik nie są księgowy', 'pewien nie-woźny_sądowy są żywiciel', 'jakiś nie-żywiciel nie jest księżniczka', 'każdy woźny_sądowy są żywiciel']","['exists', 'exists', 'exists', 'exists', 'all']",sat,5,1,5,1
